ErrorLogID,LineID,OrderID,ErrorTimestamp,ErrorCode,ErrorCategory,DurationMinutes,ResolvedByOperatorID
ERR-000001,LINE-B,ORD-1404-0005,1404/11/02 15:03:32,E371,Vision System Fault,7,EMP-007
ERR-000002,LINE-B,ORD-1404-0005,1404/11/02 12:13:00,E900,BOM-Parts Mismatch,89,EMP-007
ERR-000003,LINE-A,ORD-1404-0006,1404/11/04 12:25:17,E179,Vision System Fault,9,EMP-001
ERR-000004,LINE-A,ORD-1404-0007,1404/11/04 08:12:34,E479,Vision System Fault,15,EMP-001
ERR-000005,LINE-B,ORD-1404-0008,1404/11/01 12:31:29,E197,Nozzle Clog,9,EMP-006
ERR-000006,LINE-B,ORD-1404-0008,1404/11/01 13:18:00,E900,BOM-Parts Mismatch,93,EMP-006
ERR-000007,LINE-B,ORD-1404-0009,1404/11/04 17:40:42,E138,Board Jam,12,EMP-006
ERR-000008,LINE-B,ORD-1404-0009,1404/11/04 10:45:35,E204,Nozzle Clog,2,EMP-006
ERR-000009,LINE-B,ORD-1404-0009,1404/11/04 07:26:00,E900,BOM-Parts Mismatch,157,EMP-006
ERR-000010,LINE-A,ORD-1404-0011,1404/11/05 13:42:00,E900,BOM-Parts Mismatch,77,EMP-005
ERR-000011,LINE-B,ORD-1404-0015,1404/11/07 15:27:44,E413,Board Jam,16,EMP-008
ERR-000012,LINE-A,ORD-1404-0018,1404/11/05 11:37:58,E119,Feeder Pickup Error,10,EMP-004
ERR-000013,LINE-B,ORD-1404-0021,1404/11/08 11:40:01,E359,Board Jam,2,EMP-006
ERR-000014,LINE-A,ORD-1404-0023,1404/11/09 11:51:01,E318,Nozzle Clog,17,EMP-002
ERR-000015,LINE-A,ORD-1404-0023,1404/11/09 11:49:00,E900,BOM-Parts Mismatch,83,EMP-002
ERR-000016,LINE-B,ORD-1404-0024,1404/11/07 15:27:02,E211,Vision System Fault,9,EMP-008
ERR-000017,LINE-A,ORD-1404-0027,1404/11/07 15:50:11,E337,Nozzle Clog,7,EMP-003
ERR-000018,LINE-A,ORD-1404-0029,1404/11/11 14:17:59,E440,Feeder Pickup Error,13,EMP-003
ERR-000019,LINE-B,ORD-1404-0034,1404/11/09 15:26:00,E900,BOM-Parts Mismatch,133,EMP-009
ERR-000020,LINE-B,ORD-1404-0035,1404/11/11 08:18:02,E430,Feeder Pickup Error,6,EMP-006
ERR-000021,LINE-B,ORD-1404-0036,1404/11/12 14:15:28,E175,Feeder Pickup Error,19,EMP-006
ERR-000022,LINE-A,ORD-1404-0037,1404/11/11 11:41:05,E141,Feeder Pickup Error,10,EMP-002
ERR-000023,LINE-B,ORD-1404-0038,1404/11/15 15:17:42,E299,Board Jam,5,EMP-006
ERR-000024,LINE-B,ORD-1404-0039,1404/11/16 17:04:14,E280,Board Jam,20,EMP-010
ERR-000025,LINE-B,ORD-1404-0040,1404/11/14 12:09:09,E233,Vision System Fault,11,EMP-007
ERR-000026,LINE-A,ORD-1404-0041,1404/11/18 07:20:45,E213,Vision System Fault,10,EMP-001
ERR-000027,LINE-B,ORD-1404-0046,1404/11/18 07:03:36,E163,Vision System Fault,20,EMP-007
ERR-000028,LINE-B,ORD-1404-0046,1404/11/18 07:03:06,E418,Board Jam,3,EMP-007
ERR-000029,LINE-B,ORD-1404-0047,1404/11/19 08:30:39,E201,Nozzle Clog,15,EMP-009
ERR-000030,LINE-A,ORD-1404-0051,1404/11/26 18:53:44,E300,Board Jam,4,EMP-002
ERR-000031,LINE-A,ORD-1404-0054,1404/11/21 14:12:00,E900,BOM-Parts Mismatch,64,EMP-005
ERR-000032,LINE-B,ORD-1404-0055,1404/11/21 15:30:52,E337,Vision System Fault,10,EMP-006
ERR-000033,LINE-B,ORD-1404-0059,1404/11/23 08:57:00,E900,BOM-Parts Mismatch,161,EMP-006
ERR-000034,LINE-B,ORD-1404-0060,1404/11/25 11:54:03,E120,Board Jam,6,EMP-009
ERR-000035,LINE-B,ORD-1404-0060,1404/11/25 07:54:00,E900,BOM-Parts Mismatch,140,EMP-009
ERR-000036,LINE-B,ORD-1404-0061,1404/11/22 17:41:16,E198,Nozzle Clog,2,EMP-007
ERR-000037,LINE-B,ORD-1404-0065,1404/11/25 14:43:08,E323,Board Jam,6,EMP-009
ERR-000038,LINE-A,ORD-1404-0066,1404/11/25 11:04:48,E377,Vision System Fault,2,EMP-003
ERR-000039,LINE-B,ORD-1404-0067,1404/11/29 14:55:13,E306,Vision System Fault,20,EMP-007
ERR-000040,LINE-A,ORD-1404-0068,1404/11/29 12:39:22,E336,Feeder Pickup Error,9,EMP-003
ERR-000041,LINE-A,ORD-1404-0068,1404/11/29 10:21:00,E900,BOM-Parts Mismatch,139,EMP-003
ERR-000042,LINE-B,ORD-1404-0069,1404/11/27 12:52:36,E361,Feeder Pickup Error,3,EMP-008
ERR-000043,LINE-B,ORD-1404-0072,1404/12/02 07:24:20,E478,Board Jam,11,EMP-006
ERR-000044,LINE-A,ORD-1404-0076,1404/12/04 11:30:49,E234,Feeder Pickup Error,17,EMP-001
ERR-000045,LINE-B,ORD-1404-0078,1404/12/03 14:00:47,E254,Feeder Pickup Error,14,EMP-009
ERR-000046,LINE-A,ORD-1404-0080,1404/12/04 14:06:15,E144,Feeder Pickup Error,10,EMP-005
ERR-000047,LINE-A,ORD-1404-0080,1404/12/04 13:21:17,E214,Nozzle Clog,10,EMP-005
ERR-000048,LINE-B,ORD-1404-0086,1404/12/09 14:32:36,E429,Vision System Fault,19,EMP-010
ERR-000049,LINE-B,ORD-1404-0087,1404/12/09 07:46:51,E326,Feeder Pickup Error,12,EMP-009
ERR-000050,LINE-B,ORD-1404-0088,1404/12/09 07:35:00,E900,BOM-Parts Mismatch,164,EMP-010
ERR-000051,LINE-A,ORD-1404-0091,1404/12/12 13:08:35,E169,Feeder Pickup Error,17,EMP-001
ERR-000052,LINE-A,ORD-1404-0092,1404/12/11 11:43:38,E367,Board Jam,14,EMP-003
ERR-000053,LINE-A,ORD-1404-0093,1404/12/11 11:49:37,E463,Board Jam,9,EMP-002
ERR-000054,LINE-A,ORD-1404-0095,1404/12/13 20:47:17,E259,Vision System Fault,9,EMP-003
ERR-000055,LINE-A,ORD-1404-0098,1404/12/12 18:02:19,E146,Vision System Fault,19,EMP-004
ERR-000056,LINE-A,ORD-1404-0098,1404/12/12 14:22:00,E900,BOM-Parts Mismatch,60,EMP-004
ERR-000057,LINE-B,ORD-1404-0099,1404/12/14 14:11:57,E312,Board Jam,2,EMP-009
ERR-000058,LINE-B,ORD-1404-0099,1404/12/14 13:45:00,E900,BOM-Parts Mismatch,137,EMP-009
ERR-000059,LINE-A,ORD-1404-0100,1404/12/14 08:43:40,E107,Board Jam,10,EMP-002
ERR-000060,LINE-A,ORD-1404-0100,1404/12/14 09:03:00,E900,BOM-Parts Mismatch,157,EMP-002
ERR-000061,LINE-A,ORD-1404-0102,1404/12/17 14:23:45,E176,Nozzle Clog,3,EMP-004
ERR-000062,LINE-B,ORD-1404-0104,1404/12/18 15:37:16,E490,Board Jam,2,EMP-010
ERR-000063,LINE-B,ORD-1404-0107,1404/12/17 15:42:46,E445,Vision System Fault,20,EMP-010
ERR-000064,LINE-A,ORD-1404-0110,1404/12/23 10:41:30,E200,Board Jam,20,EMP-001
ERR-000065,LINE-A,ORD-1404-0110,1404/12/23 08:18:46,E259,Board Jam,12,EMP-001
ERR-000066,LINE-A,ORD-1404-0111,1404/12/20 11:38:21,E484,Nozzle Clog,14,EMP-001
ERR-000067,LINE-B,ORD-1404-0115,1404/12/23 11:34:41,E358,Nozzle Clog,5,EMP-006
ERR-000068,LINE-B,ORD-1404-0115,1404/12/23 07:09:00,E900,BOM-Parts Mismatch,56,EMP-006
ERR-000069,LINE-A,ORD-1404-0118,1404/12/26 13:27:59,E326,Board Jam,16,EMP-005
ERR-000070,LINE-B,ORD-1404-0120,1404/12/28 17:08:46,E454,Feeder Pickup Error,4,EMP-008
ERR-000071,LINE-A,ORD-1404-0121,1405/01/01 08:12:22,E337,Vision System Fault,16,EMP-005
ERR-000072,LINE-B,ORD-1404-0122,1404/12/27 10:25:15,E124,Vision System Fault,15,EMP-007
ERR-000073,LINE-B,ORD-1404-0123,1404/12/27 13:21:57,E469,Vision System Fault,10,EMP-007
ERR-000074,LINE-B,ORD-1405-0126,1405/01/01 20:09:11,E157,Nozzle Clog,4,EMP-009
ERR-000075,LINE-A,ORD-1405-0128,1405/01/03 12:47:49,E160,Nozzle Clog,14,EMP-001
ERR-000076,LINE-A,ORD-1405-0132,1405/01/04 11:31:03,E299,Feeder Pickup Error,8,EMP-003
ERR-000077,LINE-B,ORD-1405-0136,1405/01/04 21:18:58,E353,Nozzle Clog,13,EMP-010
ERR-000078,LINE-B,ORD-1405-0136,1405/01/04 12:59:00,E900,BOM-Parts Mismatch,30,EMP-010
ERR-000079,LINE-B,ORD-1405-0139,1405/01/08 13:53:57,E252,Feeder Pickup Error,7,EMP-006
ERR-000080,LINE-A,ORD-1405-0140,1405/01/09 09:02:04,E417,Vision System Fault,6,EMP-005
ERR-000081,LINE-A,ORD-1405-0140,1405/01/09 10:41:07,E223,Vision System Fault,14,EMP-005
ERR-000082,LINE-B,ORD-1405-0142,1405/01/10 15:17:16,E476,Nozzle Clog,20,EMP-006
ERR-000083,LINE-B,ORD-1405-0142,1405/01/10 15:21:06,E191,Board Jam,20,EMP-006
ERR-000084,LINE-A,ORD-1405-0143,1405/01/09 11:21:50,E393,Feeder Pickup Error,17,EMP-003
ERR-000085,LINE-A,ORD-1405-0149,1405/01/12 11:46:50,E342,Board Jam,13,EMP-004
ERR-000086,LINE-A,ORD-1405-0152,1405/01/17 07:47:26,E395,Vision System Fault,13,EMP-002
ERR-000087,LINE-A,ORD-1405-0156,1405/01/15 14:54:30,E353,Nozzle Clog,7,EMP-002
ERR-000088,LINE-A,ORD-1405-0157,1405/01/17 13:04:52,E140,Board Jam,7,EMP-001
ERR-000089,LINE-A,ORD-1405-0158,1405/01/17 14:23:00,E900,BOM-Parts Mismatch,49,EMP-001
ERR-000090,LINE-A,ORD-1405-0159,1405/01/17 12:58:21,E163,Vision System Fault,3,EMP-002
ERR-000091,LINE-A,ORD-1405-0163,1405/01/20 15:33:24,E361,Nozzle Clog,11,EMP-003
ERR-000092,LINE-A,ORD-1405-0163,1405/01/20 15:59:01,E169,Vision System Fault,4,EMP-003
ERR-000093,LINE-A,ORD-1405-0164,1405/01/22 20:42:38,E244,Vision System Fault,8,EMP-005
ERR-000094,LINE-B,ORD-1405-0165,1405/01/22 07:34:48,E459,Nozzle Clog,15,EMP-008
ERR-000095,LINE-B,ORD-1405-0167,1405/01/22 11:19:20,E391,Feeder Pickup Error,7,EMP-006
ERR-000096,LINE-A,ORD-1405-0168,1405/01/22 11:44:12,E434,Feeder Pickup Error,19,EMP-005
ERR-000097,LINE-B,ORD-1405-0172,1405/01/25 17:48:42,E323,Nozzle Clog,19,EMP-007
ERR-000098,LINE-B,ORD-1405-0172,1405/01/25 14:06:07,E158,Board Jam,7,EMP-007
ERR-000099,LINE-B,ORD-1405-0177,1405/01/26 08:59:14,E334,Board Jam,8,EMP-006
ERR-000100,LINE-B,ORD-1405-0177,1405/01/26 10:57:15,E213,Nozzle Clog,2,EMP-006
ERR-000101,LINE-A,ORD-1405-0178,1405/01/27 16:38:57,E285,Nozzle Clog,10,EMP-003
ERR-000102,LINE-B,ORD-1405-0182,1405/01/29 09:19:48,E422,Nozzle Clog,3,EMP-006
ERR-000103,LINE-A,ORD-1405-0183,1405/01/29 15:53:49,E101,Feeder Pickup Error,9,EMP-002
ERR-000104,LINE-A,ORD-1405-0183,1405/01/29 16:33:12,E360,Vision System Fault,19,EMP-002
ERR-000105,LINE-A,ORD-1405-0184,1405/01/30 16:41:42,E269,Feeder Pickup Error,19,EMP-005
ERR-000106,LINE-B,ORD-1405-0189,1405/02/02 18:10:14,E272,Board Jam,7,EMP-010
ERR-000107,LINE-B,ORD-1405-0190,1405/02/03 08:55:58,E340,Vision System Fault,19,EMP-010
ERR-000108,LINE-A,ORD-1405-0191,1405/02/03 22:33:49,E241,Vision System Fault,10,EMP-004
ERR-000109,LINE-A,ORD-1405-0191,1405/02/04 00:03:04,E431,Nozzle Clog,20,EMP-004
ERR-000110,LINE-A,ORD-1405-0194,1405/02/05 08:08:04,E160,Feeder Pickup Error,2,EMP-004
ERR-000111,LINE-A,ORD-1405-0195,1405/02/05 07:29:07,E269,Feeder Pickup Error,10,EMP-002
ERR-000112,LINE-A,ORD-1405-0195,1405/02/05 09:07:57,E462,Board Jam,6,EMP-002
ERR-000113,LINE-A,ORD-1405-0197,1405/02/06 14:02:27,E194,Board Jam,13,EMP-003
ERR-000114,LINE-A,ORD-1405-0201,1405/02/05 12:21:25,E450,Vision System Fault,7,EMP-002
ERR-000115,LINE-B,ORD-1405-0202,1405/02/06 13:10:00,E900,BOM-Parts Mismatch,106,EMP-007
ERR-000116,LINE-B,ORD-1405-0205,1405/02/08 12:04:32,E485,Feeder Pickup Error,17,EMP-008
ERR-000117,LINE-A,ORD-1405-0206,1405/02/09 10:58:33,E221,Board Jam,6,EMP-002
ERR-000118,LINE-B,ORD-1405-0208,1405/02/10 11:42:00,E900,BOM-Parts Mismatch,35,EMP-010
ERR-000119,LINE-A,ORD-1405-0209,1405/02/12 07:30:39,E189,Nozzle Clog,3,EMP-005
ERR-000120,LINE-A,ORD-1405-0209,1405/02/12 07:32:11,E171,Board Jam,2,EMP-005
ERR-000121,LINE-B,ORD-1405-0210,1405/02/12 07:12:00,E219,Nozzle Clog,11,EMP-009
ERR-000122,LINE-B,ORD-1405-0212,1405/02/10 19:57:51,E168,Vision System Fault,5,EMP-006
ERR-000123,LINE-B,ORD-1405-0212,1405/02/10 20:18:27,E383,Feeder Pickup Error,13,EMP-006
ERR-000124,LINE-B,ORD-1405-0215,1405/02/11 04:24:20,E216,Feeder Pickup Error,11,EMP-010
ERR-000125,LINE-B,ORD-1405-0215,1405/02/11 04:20:59,E169,Vision System Fault,8,EMP-010
ERR-000126,LINE-A,ORD-1405-0217,1405/02/13 08:34:39,E200,Board Jam,2,EMP-002
ERR-000127,LINE-B,ORD-1405-0218,1405/02/15 18:08:47,E112,Nozzle Clog,7,EMP-008
ERR-000128,LINE-B,ORD-1405-0219,1405/02/15 20:36:21,E402,Vision System Fault,2,EMP-008
ERR-000129,LINE-B,ORD-1405-0219,1405/02/15 19:36:20,E399,Vision System Fault,11,EMP-008
ERR-000130,LINE-A,ORD-1405-0222,1405/02/15 11:37:05,E377,Feeder Pickup Error,19,EMP-001
ERR-000131,LINE-B,ORD-1405-0224,1405/02/18 10:25:08,E123,Nozzle Clog,5,EMP-007
ERR-000132,LINE-B,ORD-1405-0224,1405/02/18 02:55:29,E316,Board Jam,5,EMP-007
ERR-000133,LINE-A,ORD-1405-0227,1405/02/16 11:57:04,E477,Feeder Pickup Error,19,EMP-003
ERR-000134,LINE-A,ORD-1405-0232,1405/02/19 17:01:28,E368,Vision System Fault,7,EMP-003
ERR-000135,LINE-A,ORD-1405-0234,1405/02/22 13:17:27,E170,Board Jam,10,EMP-002
ERR-000136,LINE-B,ORD-1405-0235,1405/02/22 07:49:18,E384,Feeder Pickup Error,9,EMP-009
ERR-000137,LINE-A,ORD-1405-0240,1405/02/23 07:35:00,E900,BOM-Parts Mismatch,119,EMP-003
ERR-000138,LINE-A,ORD-1405-0246,1405/02/24 16:28:10,E183,Vision System Fault,11,EMP-002
ERR-000139,LINE-A,ORD-1405-0247,1405/02/26 17:13:10,E165,Nozzle Clog,5,EMP-005
ERR-000140,LINE-B,ORD-1405-0248,1405/02/27 10:56:17,E443,Board Jam,12,EMP-006
ERR-000141,LINE-B,ORD-1405-0249,1405/02/30 12:17:14,E144,Vision System Fault,10,EMP-009
ERR-000142,LINE-B,ORD-1405-0251,1405/02/30 04:01:01,E231,Nozzle Clog,20,EMP-006
ERR-000143,LINE-B,ORD-1405-0251,1405/02/29 17:33:10,E167,Feeder Pickup Error,9,EMP-006
ERR-000144,LINE-B,ORD-1405-0251,1405/02/29 14:25:00,E900,BOM-Parts Mismatch,65,EMP-006
ERR-000145,LINE-B,ORD-1405-0252,1405/02/31 15:14:56,E469,Feeder Pickup Error,2,EMP-010
ERR-000146,LINE-A,ORD-1405-0255,1405/03/02 09:09:42,E337,Feeder Pickup Error,17,EMP-002
ERR-000147,LINE-A,ORD-1405-0258,1405/03/02 09:04:47,E469,Vision System Fault,10,EMP-002
ERR-000148,LINE-A,ORD-1405-0259,1405/03/02 07:35:02,E348,Board Jam,5,EMP-001
ERR-000149,LINE-A,ORD-1405-0266,1405/03/06 12:55:00,E900,BOM-Parts Mismatch,101,EMP-002
ERR-000150,LINE-B,ORD-1405-0267,1405/03/09 08:30:05,E243,Board Jam,17,EMP-008
ERR-000151,LINE-A,ORD-1405-0268,1405/03/09 13:37:47,E101,Feeder Pickup Error,4,EMP-004
ERR-000152,LINE-A,ORD-1405-0269,1405/03/06 13:33:14,E245,Feeder Pickup Error,17,EMP-004
ERR-000153,LINE-B,ORD-1405-0274,1405/03/10 09:18:12,E241,Nozzle Clog,11,EMP-008
ERR-000154,LINE-B,ORD-1405-0275,1405/03/12 13:15:09,E190,Feeder Pickup Error,5,EMP-010
ERR-000155,LINE-B,ORD-1405-0275,1405/03/12 11:58:47,E341,Board Jam,11,EMP-010
ERR-000156,LINE-B,ORD-1405-0275,1405/03/12 12:52:00,E900,BOM-Parts Mismatch,175,EMP-010
ERR-000157,LINE-B,ORD-1405-0281,1405/03/11 09:50:32,E484,Feeder Pickup Error,4,EMP-006
ERR-000158,LINE-B,ORD-1405-0283,1405/03/17 15:35:15,E348,Nozzle Clog,13,EMP-008
ERR-000159,LINE-A,ORD-1405-0284,1405/03/16 15:49:04,E492,Vision System Fault,7,EMP-001
ERR-000160,LINE-A,ORD-1405-0289,1405/03/17 13:07:00,E900,BOM-Parts Mismatch,50,EMP-003
ERR-000161,LINE-B,ORD-1405-0292,1405/03/20 11:19:29,E342,Board Jam,12,EMP-007
ERR-000162,LINE-B,ORD-1405-0295,1405/03/21 11:31:16,E318,Feeder Pickup Error,14,EMP-007
ERR-000163,LINE-A,ORD-1405-0297,1405/03/23 12:54:19,E259,Vision System Fault,19,EMP-004
ERR-000164,LINE-A,ORD-1405-0298,1405/03/23 08:07:56,E430,Board Jam,15,EMP-001
ERR-000165,LINE-A,ORD-1405-0298,1405/03/23 07:16:00,E900,BOM-Parts Mismatch,177,EMP-001
ERR-000166,LINE-B,ORD-1405-0300,1405/03/26 08:45:38,E165,Nozzle Clog,3,EMP-008
ERR-000167,LINE-B,ORD-1405-0301,1405/03/27 21:18:30,E458,Board Jam,18,EMP-009
ERR-000168,LINE-A,ORD-1405-0302,1405/03/27 12:26:10,E254,Vision System Fault,19,EMP-001
ERR-000169,LINE-A,ORD-1405-0302,1405/03/27 11:57:00,E900,BOM-Parts Mismatch,101,EMP-001
ERR-000170,LINE-A,ORD-1405-0304,1405/03/27 03:10:38,E485,Feeder Pickup Error,5,EMP-003
ERR-000171,LINE-A,ORD-1405-0304,1405/03/27 03:49:50,E324,Feeder Pickup Error,9,EMP-003
ERR-000172,LINE-B,ORD-1405-0306,1405/03/30 07:05:04,E427,Board Jam,17,EMP-006
ERR-000173,LINE-A,ORD-1405-0307,1405/03/30 11:32:36,E340,Vision System Fault,10,EMP-002
ERR-000174,LINE-B,ORD-1405-0309,1405/03/28 10:48:58,E423,Feeder Pickup Error,4,EMP-009
ERR-000175,LINE-B,ORD-1405-0309,1405/03/28 10:37:18,E268,Vision System Fault,19,EMP-009
ERR-000176,LINE-A,ORD-1405-0312,1405/04/02 14:21:43,E344,Vision System Fault,4,EMP-003
ERR-000177,LINE-B,ORD-1405-0313,1405/04/03 17:08:35,E461,Nozzle Clog,19,EMP-006
ERR-000178,LINE-B,ORD-1405-0318,1405/04/05 00:29:34,E479,Vision System Fault,10,EMP-006
ERR-000179,LINE-B,ORD-1405-0318,1405/04/07 00:22:44,E281,Feeder Pickup Error,16,EMP-006
ERR-000180,LINE-A,ORD-1405-0319,1405/04/06 16:52:58,E127,Nozzle Clog,8,EMP-001
ERR-000181,LINE-A,ORD-1405-0319,1405/04/06 23:13:32,E278,Nozzle Clog,14,EMP-001
ERR-000182,LINE-B,ORD-1405-0322,1405/04/06 07:56:00,E900,BOM-Parts Mismatch,75,EMP-006
ERR-000183,LINE-B,ORD-1405-0324,1405/04/09 12:13:32,E418,Board Jam,11,EMP-009
ERR-000184,LINE-A,ORD-1405-0327,1405/04/06 13:02:14,E416,Board Jam,3,EMP-004
ERR-000185,LINE-B,ORD-1405-0331,1405/04/10 08:28:40,E155,Board Jam,7,EMP-007
ERR-000186,LINE-B,ORD-1405-0331,1405/04/10 12:47:43,E393,Vision System Fault,20,EMP-007
ERR-000187,LINE-B,ORD-1405-0331,1405/04/10 11:20:18,E124,Nozzle Clog,4,EMP-007
ERR-000188,LINE-B,ORD-1405-0333,1405/04/14 01:52:27,E268,Board Jam,14,EMP-008
ERR-000189,LINE-B,ORD-1405-0333,1405/04/13 07:35:00,E900,BOM-Parts Mismatch,135,EMP-008
ERR-000190,LINE-B,ORD-1405-0336,1405/04/14 10:04:05,E402,Board Jam,12,EMP-007
ERR-000191,LINE-B,ORD-1405-0340,1405/04/16 11:26:35,E437,Feeder Pickup Error,19,EMP-006
ERR-000192,LINE-B,ORD-1405-0343,1405/04/17 17:11:12,E461,Feeder Pickup Error,12,EMP-010
ERR-000193,LINE-B,ORD-1405-0343,1405/04/17 15:15:08,E395,Vision System Fault,7,EMP-010
ERR-000194,LINE-B,ORD-1405-0345,1405/04/16 10:54:35,E436,Nozzle Clog,19,EMP-008
ERR-000195,LINE-B,ORD-1405-0345,1405/04/16 11:16:51,E269,Board Jam,17,EMP-008
ERR-000196,LINE-A,ORD-1405-0346,1405/04/21 16:47:16,E437,Nozzle Clog,6,EMP-002
ERR-000197,LINE-A,ORD-1405-0346,1405/04/22 02:06:04,E148,Board Jam,17,EMP-002
ERR-000198,LINE-A,ORD-1405-0350,1405/04/20 13:54:46,E307,Vision System Fault,5,EMP-003
ERR-000199,LINE-B,ORD-1405-0352,1405/04/21 12:59:29,E376,Feeder Pickup Error,11,EMP-008
ERR-000200,LINE-A,ORD-1405-0353,1405/04/21 08:14:30,E339,Vision System Fault,13,EMP-002
ERR-000201,LINE-A,ORD-1405-0356,1405/04/24 17:04:37,E240,Feeder Pickup Error,10,EMP-004
ERR-000202,LINE-A,ORD-1405-0356,1405/04/24 16:52:31,E301,Vision System Fault,12,EMP-004
ERR-000203,LINE-B,ORD-1405-0357,1405/04/22 14:01:47,E197,Nozzle Clog,8,EMP-010
ERR-000204,LINE-B,ORD-1405-0358,1405/04/23 12:36:32,E360,Vision System Fault,15,EMP-010
ERR-000205,LINE-A,ORD-1405-0361,1405/04/23 07:55:12,E138,Vision System Fault,8,EMP-003
ERR-000206,LINE-A,ORD-1405-0362,1405/04/24 17:29:04,E374,Nozzle Clog,3,EMP-004
ERR-000207,LINE-A,ORD-1405-0362,1405/04/24 18:39:28,E433,Vision System Fault,11,EMP-004
ERR-000208,LINE-B,ORD-1405-0369,1405/04/30 10:31:22,E170,Feeder Pickup Error,15,EMP-009
ERR-000209,LINE-B,ORD-1405-0369,1405/04/30 09:48:00,E900,BOM-Parts Mismatch,158,EMP-009
ERR-000210,LINE-A,,1404/11/23 16:54:00,E554,Calibration / Startup Check,11,EMP-003
ERR-000211,LINE-A,,1405/02/22 09:45:00,E578,Calibration / Startup Check,15,EMP-012
ERR-000212,LINE-A,,1404/11/05 16:14:00,E530,Calibration / Startup Check,15,EMP-001
ERR-000213,LINE-A,,1405/01/24 09:08:00,E534,Calibration / Startup Check,11,EMP-011
ERR-000214,LINE-A,,1404/11/04 17:23:00,E555,Calibration / Startup Check,5,EMP-010
ERR-000215,LINE-A,,1405/03/21 16:21:00,E532,Calibration / Startup Check,10,EMP-004
ERR-000216,LINE-A,,1405/04/17 18:13:00,E554,Calibration / Startup Check,12,EMP-001
ERR-000217,LINE-B,,1405/01/31 13:27:00,E561,Calibration / Startup Check,15,EMP-004
ERR-000218,LINE-B,,1404/11/14 20:33:00,E597,Calibration / Startup Check,6,EMP-009
ERR-000219,LINE-B,,1404/11/26 12:54:00,E515,Calibration / Startup Check,9,EMP-002
ERR-000220,LINE-B,,1405/02/31 09:13:00,E570,Calibration / Startup Check,11,EMP-009
