FeederLogID,LineID,OrderID,FeederSlotNo,ComponentPartNumber,ReelLotNo,LoadedTimestamp,ComponentsLoadedQty,ComponentsConsumedQty,ComponentsRemainingQty,LoadedByOperatorID
FLOG-000001,LINE-A,ORD-1404-0001,19,RES-0402-100R,LOT-562362,1404/10/30 10:15:00,2500,69,2431,EMP-001
FLOG-000002,LINE-A,ORD-1404-0001,52,DIO-LED-0603-GRN,LOT-476196,1404/10/30 10:15:00,10000,68,9932,EMP-001
FLOG-000003,LINE-A,ORD-1404-0001,59,RES-0201-1K,LOT-238731,1404/10/30 10:15:00,4000,68,3932,EMP-001
FLOG-000004,LINE-A,ORD-1404-0001,41,RES-0201-47K,LOT-319840,1404/10/30 10:15:00,10000,61,9939,EMP-001
FLOG-000005,LINE-A,ORD-1404-0001,56,RES-0402-100K,LOT-946906,1404/10/30 10:15:00,4000,69,3931,EMP-001
FLOG-000006,LINE-A,ORD-1404-0001,49,RES-0201-1K,LOT-988326,1404/10/30 10:15:00,10000,62,9938,EMP-001
FLOG-000007,LINE-A,ORD-1404-0001,43,CAP-0603-10uF,LOT-379636,1404/10/30 10:15:00,2500,62,2438,EMP-001
FLOG-000008,LINE-A,ORD-1404-0001,20,RES-0402-1K,LOT-509083,1404/10/30 10:15:00,10000,62,9938,EMP-001
FLOG-000009,LINE-A,ORD-1404-0001,29,CAP-0201-10pF,LOT-124984,1404/10/30 10:15:00,5000,61,4939,EMP-001
FLOG-000010,LINE-A,ORD-1404-0001,16,RES-0201-1K,LOT-512812,1404/10/30 10:15:00,2500,68,2432,EMP-001
FLOG-000011,LINE-A,ORD-1404-0001,1,CAP-0603-100pF,LOT-769106,1404/10/30 10:15:00,5000,66,4934,EMP-001
FLOG-000012,LINE-A,ORD-1404-0001,6,IC-BGA-FPGA-XC7,LOT-426532,1404/10/30 10:15:00,4000,69,3931,EMP-001
FLOG-000013,LINE-A,ORD-1404-0001,8,RES-0402-100R,LOT-797913,1404/10/30 10:15:00,5000,70,4930,EMP-001
FLOG-000014,LINE-A,ORD-1404-0001,40,CONN-USB-C,LOT-309677,1404/10/30 10:15:00,4000,63,3937,EMP-001
FLOG-000015,LINE-B,ORD-1404-0002,24,RES-0402-100R,LOT-102489,1404/11/01 09:42:00,2500,35,2465,EMP-006
FLOG-000016,LINE-B,ORD-1404-0002,33,RES-0402-22R,LOT-725806,1404/11/01 09:42:00,4000,33,3967,EMP-006
FLOG-000017,LINE-B,ORD-1404-0002,27,RES-0402-100K,LOT-787075,1404/11/01 09:42:00,2500,33,2467,EMP-006
FLOG-000018,LINE-B,ORD-1404-0002,46,IC-SOIC-MCU-ATMEGA328,LOT-967883,1404/11/01 09:42:00,4000,33,3967,EMP-006
FLOG-000019,LINE-B,ORD-1404-0002,17,IC-SOIC-TXRX-RS485,LOT-410649,1404/11/01 09:42:00,10000,31,9969,EMP-006
FLOG-000020,LINE-B,ORD-1404-0002,19,IC-SOIC-MCU-STM32F1,LOT-876091,1404/11/01 09:42:00,10000,32,9968,EMP-006
FLOG-000021,LINE-B,ORD-1404-0002,58,RES-0402-100K,LOT-900686,1404/11/01 09:42:00,5000,34,4966,EMP-006
FLOG-000022,LINE-B,ORD-1404-0002,12,CONN-USB-C,LOT-141604,1404/11/01 09:42:00,5000,31,4969,EMP-006
FLOG-000023,LINE-A,ORD-1404-0003,33,IC-SOIC-MCU-ATMEGA328,LOT-809571,1404/11/02 13:42:00,4000,31,3969,EMP-002
FLOG-000024,LINE-A,ORD-1404-0003,42,IC-SOIC-MCU-ATMEGA328,LOT-547612,1404/11/02 13:42:00,10000,31,9969,EMP-002
FLOG-000025,LINE-A,ORD-1404-0003,12,CAP-0603-100nF,LOT-149577,1404/11/02 13:42:00,10000,31,9969,EMP-002
FLOG-000026,LINE-A,ORD-1404-0003,50,IC-SOIC-OPAMP-DUAL,LOT-831081,1404/11/02 13:42:00,10000,33,9967,EMP-002
FLOG-000027,LINE-A,ORD-1404-0003,32,IC-SOIC-TXRX-RS485,LOT-564949,1404/11/02 13:42:00,2500,34,2466,EMP-002
FLOG-000028,LINE-A,ORD-1404-0003,60,RES-0402-4K7,LOT-139852,1404/11/02 13:42:00,10000,30,9970,EMP-002
FLOG-000029,LINE-A,ORD-1404-0003,43,IC-SOIC-EEPROM-24C02,LOT-916118,1404/11/02 13:42:00,5000,31,4969,EMP-002
FLOG-000030,LINE-A,ORD-1404-0003,1,CAP-0603-4.7uF,LOT-674877,1404/11/02 13:42:00,4000,34,3966,EMP-002
FLOG-000031,LINE-A,ORD-1404-0003,31,CONN-HDR-4P,LOT-962115,1404/11/02 13:42:00,10000,33,9967,EMP-002
