ProjectLogID,OrderID,LineID,ProgramName,OperatorID,JobStartTimestamp,JobEndTimestamp,PlannedQty,ProducedGoodQty,ProducedRejectQty,TotalStoppageMinutes,Status
PLOG-00001,ORD-1404-0001,LINE-A,PRG_ORD-1404-0001,EMP-001,1404/10/30 10:15:00,1404/10/30 16:50:47,61,59,2,0,Completed
PLOG-00002,ORD-1404-0002,LINE-B,PRG_ORD-1404-0002,EMP-006,1404/11/01 09:42:00,1404/11/01 10:18:30,31,31,0,0,Completed
PLOG-00003,ORD-1404-0003,LINE-A,PRG_ORD-1404-0003,EMP-002,1404/11/02 13:42:00,1404/11/04 09:00:05,30,30,0,0,Completed
PLOG-00004,ORD-1404-0004,LINE-B,PRG_ORD-1404-0004,EMP-006,1404/11/02 09:41:00,1404/11/02 13:40:13,30,29,1,0,Completed
PLOG-00005,ORD-1404-0005,LINE-B,PRG_ORD-1404-0005,EMP-007,1404/11/02 11:58:00,1404/11/04 09:09:30,45,45,0,96,Completed
PLOG-00006,ORD-1404-0006,LINE-A,PRG_ORD-1404-0006,EMP-001,1404/11/04 08:06:00,1404/11/04 14:13:09,46,46,0,9,Completed
PLOG-00007,ORD-1404-0007,LINE-A,PRG_ORD-1404-0007,EMP-001,1404/11/04 07:00:00,1404/11/04 15:08:58,78,78,0,15,Completed
PLOG-00008,ORD-1404-0008,LINE-B,PRG_ORD-1404-0008,EMP-006,1404/11/01 12:25:00,1404/11/01 14:40:47,12,12,0,102,Completed
PLOG-00009,ORD-1404-0009,LINE-B,PRG_ORD-1404-0009,EMP-006,1404/11/04 07:02:00,1404/11/04 21:30:03,191,189,2,171,Completed
PLOG-00010,ORD-1404-0010,LINE-B,PRG_ORD-1404-0010,EMP-010,1404/11/04 07:48:00,1404/11/04 10:57:34,29,28,1,0,Completed
PLOG-00011,ORD-1404-0011,LINE-A,PRG_ORD-1404-0011,EMP-005,1404/11/05 13:15:00,1404/11/05 17:31:10,27,27,0,77,Completed
PLOG-00012,ORD-1404-0012,LINE-A,PRG_ORD-1404-0012,EMP-001,1404/11/04 07:08:00,1404/11/04 08:03:45,7,7,0,0,Completed
PLOG-00013,ORD-1404-0013,LINE-A,PRG_ORD-1404-0013,EMP-004,1404/11/02 09:26:00,1404/11/02 11:11:38,24,24,0,0,Completed
PLOG-00014,ORD-1404-0014,LINE-B,PRG_ORD-1404-0014,EMP-006,1404/11/06 13:07:00,1404/11/06 15:39:30,88,88,0,0,Completed
PLOG-00015,ORD-1404-0015,LINE-B,PRG_ORD-1404-0015,EMP-008,1404/11/07 08:33:00,1404/11/07 17:06:37,55,55,0,16,Completed
PLOG-00016,ORD-1404-0016,LINE-A,PRG_ORD-1404-0016,EMP-001,1404/11/07 10:50:00,1404/11/08 15:17:09,179,174,5,0,Completed
PLOG-00017,ORD-1404-0017,LINE-A,PRG_ORD-1404-0017,EMP-003,1404/11/05 08:32:00,1404/11/05 18:05:29,86,86,0,0,Completed
PLOG-00018,ORD-1404-0018,LINE-A,PRG_ORD-1404-0018,EMP-004,1404/11/05 11:22:00,1404/11/05 12:25:50,56,54,2,10,Completed
PLOG-00019,ORD-1404-0019,LINE-B,PRG_ORD-1404-0019,EMP-006,1404/11/05 09:40:00,1404/11/05 21:11:50,89,86,3,0,Completed
PLOG-00020,ORD-1404-0020,LINE-A,PRG_ORD-1404-0020,EMP-005,1404/11/08 08:12:00,1404/11/08 13:52:42,57,56,1,0,Completed
PLOG-00021,ORD-1404-0021,LINE-B,PRG_ORD-1404-0021,EMP-006,1404/11/08 11:06:00,1404/11/08 12:10:37,10,10,0,2,Completed
PLOG-00022,ORD-1404-0022,LINE-A,PRG_ORD-1404-0022,EMP-004,1404/11/08 11:13:00,1404/11/08 14:27:13,24,24,0,0,Completed
PLOG-00023,ORD-1404-0023,LINE-A,PRG_ORD-1404-0023,EMP-002,1404/11/09 11:13:00,1404/11/11 07:09:03,43,42,1,100,Completed
PLOG-00024,ORD-1404-0024,LINE-B,PRG_ORD-1404-0024,EMP-008,1404/11/07 12:54:00,1404/11/07 16:17:22,74,73,1,9,Completed
PLOG-00025,ORD-1404-0025,LINE-B,PRG_ORD-1404-0025,EMP-010,1404/11/08 14:40:00,1404/11/08 15:38:52,9,9,0,0,Completed
PLOG-00026,ORD-1404-0026,LINE-A,PRG_ORD-1404-0026,EMP-003,1404/11/09 11:59:00,1404/11/22 13:33:29,1138,1125,13,0,Completed
PLOG-00027,ORD-1404-0027,LINE-A,PRG_ORD-1404-0027,EMP-003,1404/11/07 08:03:00,1404/11/07 19:19:48,90,89,1,7,Completed
PLOG-00028,ORD-1404-0028,LINE-A,PRG_ORD-1404-0028,EMP-002,1404/11/11 07:00:00,1404/11/11 09:17:17,66,66,0,0,Completed
PLOG-00029,ORD-1404-0029,LINE-A,PRG_ORD-1404-0029,EMP-003,1404/11/11 07:00:00,1404/11/11 16:28:36,66,65,1,13,Completed
PLOG-00030,ORD-1404-0030,LINE-A,PRG_ORD-1404-0030,EMP-003,1404/11/11 10:56:00,1404/11/11 14:17:02,27,26,1,0,Completed
PLOG-00031,ORD-1404-0031,LINE-A,PRG_ORD-1404-0031,EMP-004,1404/11/11 14:17:00,1404/11/12 19:35:38,291,283,8,0,Completed
PLOG-00032,ORD-1404-0032,LINE-B,PRG_ORD-1404-0032,EMP-006,1404/11/09 13:32:00,1404/11/11 11:20:13,21,21,0,0,Completed
